iter	Passed	Remaining
0	0	79
1	1	72
2	2	80
3	3	76
4	4	80
5	5	86
6	6	88
7	7	85
8	8	82
9	9	82
10	9	80
11	10	78
12	11	78
13	13	80
14	14	80
15	15	80
16	16	79
17	17	78
18	18	77
19	18	75
20	19	74
21	20	74
22	21	72
23	22	71
24	23	69
25	23	68
26	24	66
27	25	64
28	25	63
29	26	61
30	27	60
31	28	59
32	29	59
33	29	57
34	30	56
35	31	55
36	31	54
37	32	52
38	33	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	45
44	36	44
45	37	43
46	38	42
47	38	41
48	39	40
49	40	40
50	40	39
51	41	38
52	42	37
53	42	36
54	43	35
55	44	35
56	45	34
57	45	33
58	46	32
59	47	31
60	47	30
61	48	29
62	49	28
63	49	27
64	50	27
65	50	26
66	51	25
67	52	24
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	62	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	65	8
89	66	7
90	67	6
91	67	5
92	68	5
93	69	4
94	69	3
95	70	2
96	70	2
97	71	1
98	72	0
99	72	0
